,customerid,id,avgrating
0,628cb023c3ccbfbb1d5f410e,1,1
1,633ac3aff0f1d2a7c6a29f5a,7399,1
2,630718b7cf57702ea522b0cb,754,4
3,63419766f0f1d24d99a34f54,7400,4
4,62dbd5ce9670f2007f7cce70,809,3
5,62de5937b9aae904e9767d39,1242,5
6,63284e482288e01425df82a4,9368,5
7,63427d40f0f1d2a38aa3611a,9451,1
8,63c7ce9e6fee0167bb909063,2054,2
9,62b7faa283be59b149130ba3,2134,4
10,63cd3c7e6fee0152fa90eaca,2812,4
11,634ab35bc4fba01c9122d308,6998,1
12,62dbd8ab9670f2007f7d3f04,3066,3
13,62b2b3e1a2b2815beeef312d,3069,4
14,633434892288e00638e17613,3080,4
15,633434892288e00638e17613,3408,3
16,63dd312a6fee01868692260d,3510,1
17,63a91859d45d7779cfd7965e,3596,2
18,6401ab93235805c3adc06cdb,3652,2
19,635a91868cf0f1e3ba6ca46a,3679,5
20,63ecf9cdb16a151cdab68266,3809,1
21,631766286e5b842e6e615765,4083,2
22,62e1c5c411ce2a5f2d433858,4177,5
23,62dba1089670f2007f7a3054,4211,4
24,62dbd8ab9670f2007f7d3e70,4293,1
25,62dcaf9a9670f2007f7d4a3a,4418,4
26,63066346cf5770db4b22a792,6999,5
27,633434892288e00638e17613,4772,5
28,634aba38c4fba025ae22d74f,4792,2
29,6332f53f2288e03ce3e13146,4954,1
30,6332f53f2288e03ce3e13146,4954,1
31,63355350f0f1d29105a1fbd3,7265,4
32,62ea8563a636f01a9e6050a0,5143,2
33,63359391f0f1d23b2ba207fb,5286,1
34,62db8db99670f2007f7937b3,7460,5
35,62db8db99670f2007f7937b3,7460,5
36,62dbd8ab9670f2007f7d3e74,6200,1
37,62ea399e44d9ae1ccf149e98,6458,4
38,633edd1cf0f1d2fc53a2fe8a,6829,1
39,63284e482288e01425df82a4,7461,1
40,633336792288e06794e15078,7462,4
41,62dbd25a9670f2007f7c5f85,6884,2
42,62eb6299a636f0d472620f39,6893,2
43,62eb6299a636f0d472620f39,6893,2
44,63402d38f0f1d248dfa325aa,6969,5
45,62dbd8ac9670f2007f7d3f7c,6977,2
46,62f0bb3eef7ba0d71e4fef7a,7463,1
47,633fd9dff0f1d28a04a31485,7258,4
48,62ea1e7944d9aedd5d1452e2,8218,3
49,6342901ff0f1d2c41aa3634d,7347,3
50,6342901ff0f1d2c41aa3634d,7347,3
51,62dbd25a9670f2007f7c5f85,7383,5
52,63066346cf5770db4b22a792,9412,2
53,633ceb18f0f1d207fda2d0b2,9589,4
54,62ebfd1241a0f4be046a5918,6699,2
55,633ceb18f0f1d207fda2d0b2,9590,2
56,62fca399ad1e9884267a3196,6807,5
57,63353e0bf0f1d2f05da1f710,9591,1
58,62f12ce6ef7ba022f750e8b2,6919,4
60,633d5f0cf0f1d21170a2d926,6633,3
61,633d5f0cf0f1d21170a2d926,6633,3
62,632152046e5b840acc628868,6920,3
63,62ea0f0344d9ae0968143400,6921,4
64,62ea0f0344d9ae0968143400,6921,4
65,63395e59f0f1d23b46a26dea,8489,4
66,6391cf34fe2743de28c7b9ac,8538,3
67,6343c382f0f1d2e312a3803b,7159,1
68,634a8375c4fba0a7e122b492,8898,2
69,62e1333311ce2a3808432c94,8916,5
